name,activity,governorate,phone
AMEL MODE,Confection de vêtements de dessus - Confection de vêtements de dessous.,Nabeul,(216) - 72 221 155
AMEL WELT,Confection de vêtements de dessus.,Bizerte,(216) - 72 447 433
AMEN CONFECTION (KASSERINE),Confection de vêtements de dessus.,Kasserine,(216) - 98 514 311
AMI TEXTILE,Fabrication de pull-overs et articles similaires en mailles.,Sidi Bouzid,(216) - 95 705 782 / 21 001 696
AMIN DE CONFECTION,Confection de vêtements de dessus.,Sidi Bouzid,(216) - 93 897 107
AMINA CONFECTION,Confection de vêtements de dessus.,Beja,(216) - 78 458 776
AMIR CONFECTION,Confection de vêtements de dessous.,Beja,(216) - 78 564 615
AMIS CONFECTION INTERNATIONAL,Confection de vêtements de dessus.,Monastir,(216) - 73 526 666
AMITEX,Confection de vêtements de travail.,Sousse,(216) - 97 645 410
AMI-TEX,Confection de vêtements de dessus.,Nabeul,(216) - 29 310 627
AMO,Confection de vêtements de dessus.,Mahdia,(216) - 58 510 613 / 73 643 444
ANACC,Confection de vêtements de travail.,Sfax,(216) - 74 254 087
ANIRA TEX,Confection de vêtements de dessus.,Nabeul,(216) - 98 248 093 / 72 239 836
ANIS CONFECTION (MOKNINE),Confection de vêtements de dessus.,Monastir,(216) - 26 651 007
AOUES CONFECTION,Confection de vêtements de dessus.,Mahdia,(216) - 54 927 103
APPROZ,Confection de vêtements de dessus.,Monastir,(216) - 73 401 111
ARCHIPEL CONFECTION,Confection de vêtements de travail.,Ben Arous,(216) - 71 427 448
AREX,Confection de vêtements de dessus - Confection de vêtements de dessous.,Tunis,(216) - 71 928 000
ARKAN DE CONFECTION,Confection de vêtements de dessus.,Nabeul,(216) - 98 779 417
ART LAB,Finissage textile - Confection de vêtements de dessus.,Nabeul,(216) - 72 333 208
ARTISAN CORNER,Confection de vêtements et accessoires.,Sousse,(216) - 73 342 659
ASADA,Confection de vêtements de travail - Confection de vêtements de dessous.,Monastir,(216) - 28 772 244
ASCORE,Industries textiles n.c.a.,Sousse,(216) - 73 256 015
ASFOUR,Fabrication industrielle de tapis et moquettes.,Manouba,(216) - 70 616 875
ASSAWER CONFECTION,Confection de vêtements de travail.,Sousse,(216) - 93 821 342
ASSOTEX,Confection de vêtements de dessus.,Monastir,(216) - 98 472 307
ATC (CITE IBN KHALDOUN),Industries textiles n.c.a.,Tunis,(216) - 71 928 000
ATEKS,Industries textiles n.c.a.,Monastir,(216) - 58 396 677
ATELIERS ISA,Confection de vêtements de dessous.,Sfax,(216) - 74 688 582
ATEX,Confection de vêtements de dessous - Confection de vêtements et accessoires.,Nabeul,(216) - 31 303 360
ATLANTIC WASHING,Industries textiles n.c.a.,Monastir,(216) - 54 944 204
ATT (CITE ETTADHAMEN),Confection de vêtements de dessus - Confection de vêtements de dessous.,Ariana,(216) - 31 539 623 / 58 201 245
ATTRACTIF,Confection de vêtements de travail.,Sousse,(216) - 73 342 376
AUDEO,Industries textiles n.c.a.,Monastir,(216) - 73 434 220
AVERA,Confection de vêtements de travail.,Ben Arous,(216) - 71 430 150 / 71 430 099
AYET TEX,Fabrication de pull-overs et articles similaires en mailles - Confection de vêtements de dessus.,Gafsa,(216) - 28 096 037
AYMEN MODE,Fabrication de pull-overs et articles similaires en mailles - Confection de vêtements de dessus - Confection de vêtements de dessous.,Sfax,(216) - 58 350 010 / 74 856 200
AZIZA CONFECTION,Confection de vêtements de dessus - Confection de vêtements de dessous.,Monastir,(216) - 26 841 841
AZUR,Fabrication de linges domestiques divers - Confection de vêtements de dessus.,Tunis,(216) - 58 592 934 / 71 778 201
AZUREX (MENZEL HARB),Industries textiles n.c.a.,Monastir,(216) - 73 478 404
B & B TRICOT,Fabrication de pull-overs et articles similaires en mailles.,Ben Arous,(216) - 71 401 320
B & S,Industries textiles n.c.a.,Monastir,(216) - 73 482 002 / 73 591 265
B AND I CONFECTION,Fabrication d'autres articles confectionnes en textile - Confection de vêtements de travail - Confection de vêtements et accessoires.,Mahdia,(216) - 95 560 461
BACOVET INDUSTRIE,Industries textiles n.c.a - Confection de vêtements de dessus.,Monastir,(216) - 56 831 003 / 73 486 166
BACOVET INTERNATIONAL,Confection de vêtements et accessoires.,Mahdia,(216) - 31 341 600
BADIS CONFECTION,Confection de vêtements de travail.,Nabeul,(216) - 72 361 313
BADIT TUNISIA,Fabrication de pull-overs et articles similaires en mailles.,Nabeul,(216) - 54 386 243 / 72 386 861
BAHA CONFECTION,Confection de vêtements de dessous.,Kairouan,(216) - 98 453 301
BAKITEX,Confection de vêtements de dessus.,Monastir,(216) - 54 585 997
BALY TEXTILE EL HAMMA,Confection de vêtements de dessus.,Gabes,(216) - 29 799 472
BARHOUMI COUTURE IDEAL,Confection de vêtements de travail.,Gafsa,(216) - 94 957 992
BARNA TEXTIL,Confection de vêtements de dessus - Confection de vêtements de dessous.,Ariana,(216) - 22 200 567 / 27 585 721
BARTEX,Fabrication de linges domestiques divers - Fabrication d'autres articles confectionnes en textile.,Mahdia,(216) - 73 665 087
BAYA CO,Confection de vêtements de dessous.,Sousse,(216) - 98 408 400
BAYA CONFECTION,Confection de vêtements de dessus - Confection de vêtements de dessous.,Manouba,(216) - 70 662 758
BB TEX,Confection de vêtements de dessous.,Mahdia,(216) - 73 658 130 / 73 658 131
BBZ INTERNATIONAL,Confection de vêtements de travail - Confection de vêtements de dessus - Confection de vêtements de dessous.,Sousse,(216) - 29 066 699 / 73 289 666
BCF,Confection de vêtements de dessous.,Sousse,(216) - 31 363 680 / 73 256 263
BCF CONFECTION,Confection de vêtements de dessus - Confection de vêtements de dessous.,Sousse,(216) - 73 357 187 / 73 358 099
BE EL ATELIER,Confection de vêtements et accessoires.,Mahdia,(216) - 31 377 790 / 22 087 287
BEACH FASHION,Confection de vêtements de dessus.,Sfax,(216) - 98 773 469
BEAU JEAN'S,Industries textiles n.c.a.,Monastir,(216) - 58 402 185 / 73 414 014
BEBE CHBIL,Fabrication de pull-overs et articles similaires en mailles.,Monastir,(216) - 73 479 006 / 73 494 990
BEBE PANGUI,Confection de vêtements de dessus.,Monastir,(216) - 29 907 909 / 73 508 451
BEKALTEX,Fabrication de pull-overs et articles similaires en mailles - Confection de vêtements et accessoires.,Monastir,(216) - 98 405 957 / 73 458 332
BELGOTEX,Fabrication de pull-overs et articles similaires en mailles - Confection de vêtements et accessoires.,Monastir,(216) - 73 535 302 / 98 781 897
BEN AYED UNIVERSAL EXPORT,Confection de vêtements de travail.,Manouba,(216) - 71 540 454
BEN FADHEL CONFECTION,Confection de vêtements de dessus.,Nabeul,(216) - 20 395 789
BEN GEMMA DESIGN,Finissage textile.,Sousse,(216) - 73 313 911
BENCOF,Confection de vêtements de dessus.,Monastir,(216) - 98 458 558 / 73 482 235
BENITEX (KORBA),Confection de vêtements de dessus.,Nabeul,(216) - 72 387 688 / 72 388 599
BENTEX +,Fabrication de pull-overs et articles similaires en mailles.,Mahdia,(216) - 73 662 771
BERONI CLOTHING,Confection de vêtements de dessus.,Nabeul,(216) - 72 348 026
BEST UNIFORM EXPORT,Confection de vêtements de travail.,Nabeul,(216) - 24 670 670
BETATEX,Confection de vêtements de dessus.,Nabeul,(216) - 23 700 200
BETEX,Confection de vêtements de travail - Confection de vêtements de dessus - Confection de vêtements de dessous - Confection de vêtements et accessoires.,Monastir,(216) - 73 473 968
BFS (EL BATEN),Confection de vêtements de dessus.,Kairouan,(216) - 56 779 292
BHC,Confection de vêtements de dessus.,Monastir,(216) - 73 474 820
BICA-TEX,Confection de vêtements de dessus.,Monastir,(216) - 58 402 180 / 58 402 168
BIDHIEX (HAMMAM SOUSSE),Confection de vêtements de travail - Confection de vêtements de dessus.,Sousse,(216) - 73 365 920
BIDHIEX FASHION,Confection de vêtements de travail.,Sousse,(216) - 58 353 501
BIGA-TEX,Confection de vêtements de dessous.,Gafsa,(216) - 20 168 670 / 76 260 626
BIKINI BEACH CONCEPT,Confection de vêtements et accessoires.,Bizerte,(216) - 72 456 110
BIKINI BEACH CONFECTION,Confection de vêtements et accessoires.,Bizerte,(216) - 72 456 110 / 72 456 599
BIOSEVE,Fabrication d'autres articles confectionnes en textile.,Zaghouan,(216) - 23 257 026
BIS,Confection de vêtements de travail.,Sousse,(216) - 98 403 512 / 98 437 047
BLEU - MANDARINE,Confection de vêtements de dessus - Confection de vêtements de dessous.,Ariana,(216) - 70 682 633
BLEU OCEAN TUNISIE,Confection de vêtements de dessus.,Monastir,(216) - 73 487 864
BLUE & DYE,Industries textiles n.c.a.,Nabeul,(216) - 72 257 177 / 72 257 004
BLUE DENIM TUNISIE,Industries textiles n.c.a.,Nabeul,(216) - 72 290 999
BLUETEX,Confection de vêtements de dessus - Confection de vêtements de dessous.,Sfax,(216) - 70 147 680 / 70 310 700
BM,Industries textiles n.c.a.,Ben Arous,(216) - 71 426 808 / 71 426 898
BM CONFECTION,Confection de vêtements de travail.,Sousse,(216) - 95 726 875
BNC INDUSTRY,Fabrication de linges domestiques divers - Fabrication d'autres articles confectionnes en textile.,Sousse,(216) - 28 000 080 / 98 987 786
BOURGOIN SERENA,Confection de vêtements et accessoires.,Bizerte,(216) - 51 391 044 / 50 520 440
BOURJINE TEX,Confection de vêtements de dessus.,Sousse,(216) - 98 826 622 / 73 288 078
BOZINO,Confection de vêtements de travail.,Kairouan,(216) - 24 862 209
BRAHAM MILEDI CONFECTION,Confection de vêtements de dessus.,Kairouan,(216) - 58 830 829
BRAMATEX,Confection de vêtements de dessus.,Monastir,(216) - 98 746 870 / 73 420 505
BRAMATEX ESSORT,Confection de vêtements de dessus.,Monastir,(216) - 73 420 505
BRAMATEX INTER,Confection de vêtements de dessus.,Monastir,(216) - 73 420 505
BRATEX,Confection de vêtements de dessus - Confection de vêtements de dessous.,Monastir,(216) - 73 558 245
BREIZH CONFECTION,Confection de vêtements de travail.,Nabeul,(216) - 94 771 818 / 72 285 205
BRISE MODE,Confection de vêtements de dessus - Confection de vêtements de dessous.,Manouba,(216) - 29 035 269
BROCAP PLUS,Industries textiles n.c.a.,Nabeul,(216) - 72 385 319
BROD EXPORT,Industries textiles n.c.a.,Nabeul,(216) - 25 346 000
BROD TUNIS,Industries textiles n.c.a.,Ariana,(216) - 71 765 080 / 98 325 550
BRODERIE ABIR PLUS,Industries textiles n.c.a.,Monastir,(216) - 52 011 909 / 73 567 660
BRODERIE MODERNE,Industries textiles n.c.a.,Mahdia,(216) - 73 697 850
BROTEX,Finissage textile.,Mahdia,(216) - 25 408 972 / 73 671 625
BSP PLUS,Industries textiles n.c.a.,Monastir,(216) - 50 501 502 / 73 420 378
BUDOROLA,Industries textiles n.c.a - Confection de vêtements de dessus.,Sousse,(216) - 73 288 383
BY GA ZL,Confection de vêtements de dessus.,Monastir,(216) - 29 009 626
C & C,Confection de vêtements de dessus - Confection de vêtements de dessous.,Monastir,(216) - 73 400 600
C & E,Confection de vêtements de dessus.,Monastir,(216) - 73 580 910
C.F.TEX,Confection de vêtements de dessus.,Monastir,(216) - 28 917 700
C-A- COUDRE,Fabrication de linges domestiques divers - Confection de vêtements de dessus - Confection de vêtements et accessoires.,Monastir,(216) - 73 533 233
CALOTEX,Tissage d'autres textiles - Confection de vêtements de dessus.,Nabeul,(216) - 72 233 033 / 72 233 003
CAMBRA,Confection de vêtements de dessus.,Monastir,(216) - 29 288 386 / 28 580 168
CAMED,Confection de vêtements de dessus.,Monastir,(216) - 73 518 484
CAP TUNIS,Confection de vêtements de travail.,Monastir,(216) - 22 888 847 / 73 401 047
CARE KAIROUAN,Fabrication de non-tissés.,Kairouan,(216) - 98 759 047
CARTHAGE DE TAPIS ET MOQUETTES,Fabrication industrielle de tapis et moquettes.,Sfax,
CASA HOUSSE,Fabrication de linges domestiques divers.,Sousse,(216) - 58 328 600 / 73 286 550
CASA LINGE,Industries textiles n.c.a.,Sfax,(216) - 21 118 118
CASATEX,Confection de vêtements de travail - Confection de vêtements de dessus - Confection de vêtements de dessous.,Sousse,(216) - 27 000 328 / 73 810 269
CAVALIER INTERNATIONAL,Confection de vêtements de dessus.,Monastir,(216) - 73 478 035
CB TEX,Confection de vêtements de dessus.,Nabeul,(216) - 72 374 660
CBF,Confection de vêtements de dessous.,Nabeul,(216) - 72 389 344 / 72 389 343
CBS,Industries textiles n.c.a - Confection de vêtements de dessous - Confection de vêtements et accessoires.,Ariana,(216) - 70 948 999 / 58 593 000
CCB,Confection de vêtements de travail.,Nabeul,(216) - 55 510 258
CCBA,Confection de vêtements de travail.,Sfax,(216) - 74 277 895
CCCI,Confection de vêtements de dessus.,Bizerte,(216) - 94 308 118 / 70 253 624
CDA,Confection de vêtements de dessus.,Monastir,(216) - 73 414 402 / 73 414 403
CDT,Confection de vêtements de dessus.,Bizerte,(216) - 98 985 207
CENTRE BRODERIE ITALIA,Industries textiles n.c.a.,Nabeul,(216) - 98 331 204
CESAR,Confection de vêtements de dessous.,Sidi Bouzid,(216) - 28 606 075
CFPTS,Confection de vêtements et accessoires.,Monastir,(216) - 73 535 770
CGT,Confection de vêtements de dessus.,Bizerte,(216) - 52 800 142 / 72 592 523
CHADO confection,Fabrication de pull-overs et articles similaires en mailles - Confection de vêtements et accessoires.,Monastir,(216) - 73 555 400
CHAFFAR VETEMENT,Confection de vêtements de travail.,Sfax,(216) - 99 516 826
CHAFITEX,Tissage d'autres textiles.,Monastir,(216) - 73 450 025
CHAGRA COUPE,Confection de vêtements de travail.,Gabes,(216) - 75 272 022 / 75 272 023
CHAIMA CREATION,Confection de vêtements de dessus - Confection de vêtements de dessous.,Monastir,(216) - 73 479 912
CHAMS,Industries textiles n.c.a.,Ariana,(216) - 70 563 388
CHAMTEX,Fabrication de pull-overs et articles similaires en mailles.,Mahdia,(216) - 73 619 333 / 70 284 168
CHANDELLE TEX,Confection de vêtements de dessus.,Bizerte,(216) - 29 628 384
CHATEX (BOUMHAL),Confection de vêtements de dessus - Confection de vêtements de dessous.,Ben Arous,(216) - 71 451 088
CHAUSSETTES ABIR,Fabrication d'articles chaussants en mailles.,Monastir,(216) - 99 520 676
CHAUSSETTES KENZA,Fabrication d'articles chaussants en mailles.,Monastir,(216) - 53 840 615 / 73 497 779
CHAUSSETTES KINDA,Fabrication d'articles chaussants en mailles.,Monastir,(216) - 73 479 111
CHAWECH TEX,Confection de vêtements de travail.,Sousse,(216) - 50 354 428
CHEBAANE CONFECTION,Confection de vêtements de dessus - Confection de vêtements de dessous.,Monastir,(216) - 98 831 085
CHEKAREN,Confection de vêtements de dessous - Confection de vêtements et accessoires.,Monastir,(216) - 73 530 459
CHEMA DE CONFECTION DE DRAPS,Fabrication de linges domestiques divers.,Sfax,(216) - 28 222 007 / 74 644 212
CHEMISERIE ITALIENNE,Confection de vêtements de dessus.,Beja,
CHERIF INDUSTRIE,Fabrication d'autres articles confectionnes en textile.,Ariana,(216) - 98 101 763 / 52 769 443
CHERIF NEW CONFECTION,Confection de vêtements de dessus - Confection de vêtements de dessous.,Sfax,(216) - 22 433 243
CHEYNET,Industries textiles n.c.a.,Sousse,(216) - 22 247 750 / 73 256 755
CHF,Confection de vêtements de dessous.,Monastir,(216) - 73 453 719
CHILIMA,Fabrication de linges domestiques divers.,Le kef,(216) - 98 440 730
CHRISTINE CONFECTION PLUS,Confection de vêtements de dessus.,Manouba,(216) - 29 791 687
CHRISTINE MODE,Confection de vêtements de dessus.,Tunis,(216) - 71 545 715 / 71 222 998
CIM (REJICHE),Confection de vêtements de dessous.,Mahdia,(216) - 73 688 578 / 73 640 413
CIS (SFAX),Confection de vêtements de dessous.,Sfax,(216) - 74 875 225
CIS INTERNATIONAL,Confection de vêtements de travail.,Monastir,(216) - 73 565 552
CITEX,Confection de vêtements de dessus.,Manouba,(216) - 71 621 600
CITGI,Confection de vêtements de travail - Confection de vêtements de dessous.,Monastir,(216) - 73 493 100 / 73 493 102
CITT,Confection de vêtements de dessous - Confection de vêtements et accessoires.,Tunis,(216) - 71 252 951 / 71 206 601
CLEMALI TEXTILES,Confection de vêtements et accessoires.,Sousse,(216) - 73 811 353 / 22 004 970
CLR TEXTILE,Confection de vêtements de dessus.,Monastir,(216) - 73 482 220
CM+,Confection de vêtements de dessous.,Sousse,(216) - 73 356 970
CMA,Confection de vêtements de dessous.,Sfax,(216) - 58 300 966
CME (KAIROUAN),Fabrication d'autres articles confectionnes en textile.,Kairouan,(216) - 58 358 702 / 77 275 454
CMI (SIDI HASSINE),Confection de vêtements de dessus.,Tunis,(216) - 71 590 055
CMK,Confection de vêtements de dessus.,Sfax,(216) - 99 797 573 / 74 875 939
CMS (AKOUDA),Confection de vêtements de dessous - Confection de vêtements et accessoires.,Sousse,(216) - 73 356 970
CO.VE.T,Confection de vêtements de travail.,Sousse,(216) - 73 323 438
COATS,Fabrication de fils à coudre.,Manouba,(216) - 71 545 870 / 71 546 573
COCCINELLE TEXTILE,Confection de vêtements de dessus - Confection de vêtements de dessous.,Sousse,(216) - 21 055 660
CODAR,Confection de vêtements de dessus.,Mahdia,(216) - 73 665 822
CODAR INTRE,Confection de vêtements de dessus.,Mahdia,(216) - 73 611 955
CODUPAL TUNISIE,Confection de vêtements de travail.,Nabeul,(216) - 72 370 200
COETEX,Fabrication de couvertures.,Monastir,(216) - 98 514 182
COFISAC,"Filature de jute et d'autres fibres végétales - Fabrication d'autres articles confectionnes en textile - Ficellerie, corderie, fabrication de filets.",Tunis,(216) - 98 748 100 / 71 559 636
COFIVET,Confection de vêtements de dessus.,Ben Arous,(216) - 71 433 285
COIF,Confection de vêtements de dessus.,Nabeul,(216) - 58 583 772
COKAN,Confection de vêtements de dessus.,Ariana,(216) - 98 316 865 / 98 199 470
COMED,Confection de vêtements de travail.,Sousse,(216) - 73 285 577
COMETEX,Fabrication de pull-overs et articles similaires en mailles - Confection de vêtements de dessus.,Sousse,(216) - 23 555 666 / 73 284 154
COMPAGNIE DE LA SOIE NATURELLE,Moulinage de la soie et texturation des fils artificiels et synthétiques.,Beja,(216) - 71 324 626 / 54 455 811
COMPANY BEACH,Confection de vêtements et accessoires.,Monastir,(216) - 73 530 450 / 73 530 451
CONDOR-TEX,Confection de vêtements de travail.,Sidi Bouzid,(216) - 98 741 603 / 76 620 620
CONF GROUP,Confection de vêtements de dessus.,Tunis,(216) - 70 690 833
CONFECTION AOUSJA,Confection de vêtements de dessus.,Bizerte,(216) - 98 442 848
CONFECTION DU SUD,Fabrication de linges domestiques divers - Confection de vêtements de travail.,Medenine,(216) - 97 582 151 / 75 623 520
CONFECTION JASMIN,Confection de vêtements de dessus - Confection de vêtements de dessous.,Nabeul,(216) - 29 310 627 / 72 365 622
CONFECTION REAL,Confection de vêtements de dessous.,Sfax,(216) - 74 680 936
CONFEXPORT,Fabrication de pull-overs et articles similaires en mailles - Confection de vêtements et accessoires.,Manouba,(216) - 70 660 661 / 70 660 662
CONFEXTRA,Confection de vêtements de dessous.,Sousse,(216) - 22 605 167
CONFORT AUTOCAR,Fabrication de couvertures - Fabrication d'autres articles confectionnes en textile - Fabrication industrielle de tapis et moquettes - Confection de vêtements et accessoires.,Sousse,(216) - 73 322 405
CONQUEST INTERNATIONAL,Confection de vêtements de dessus.,Monastir,(216) - 73 478 700 / 73 478 586
CONSOMED,Confection de vêtements et accessoires.,Kairouan,(216) - 71 715 842 / 77 275 275
COQUILLAGE CONFECTION,Confection de vêtements de dessus.,Sousse,(216) - 98 433 904 / 55 631 504
CORDTES,"Ficellerie, corderie, fabrication de filets.",Beja,(216) - 71 542 782 / 78 571 400
CORSET CONFECTION,Confection de vêtements de dessus - Confection de vêtements de dessous - Confection de vêtements et accessoires.,Monastir,(216) - 73 493 888
COSMOS TEXTILE,Confection de vêtements de dessus.,Sousse,(216) - 21 959 287
COTUCO,Confection de vêtements de dessus.,Sfax,(216) - 98 415 685
COUPE-INTER,Confection de vêtements de travail.,Monastir,(216) - 73 525 406
COURTEX,Confection de vêtements de dessous.,Monastir,(216) - 73 412 290
COUVERTURES DES REVES,Fabrication de couvertures.,Mahdia,(216) - 26 551 820
COVERTEX,Confection de vêtements de travail.,Nabeul,(216) - 25 533 461
COVET,Confection de vêtements de dessus.,Manouba,(216) - 70 660 200
CPRO,Confection de vêtements de travail.,Sousse,(216) - 54 759 993 / 31 534 430
CREATEX,Confection de vêtements de travail.,Nabeul,(216) - 22 300 626 / 26 700 754
CREA-TEX,Confection de vêtements de dessous.,Gafsa,(216) - 98 699 262 / 76 218 054
CREATEX (BEMBLA),Confection de vêtements de travail.,Monastir,(216) - 73 414 449
CREATEX GROUP,Confection de vêtements de travail.,Monastir,(216) - 73 414 449
CREATION FARES,Confection de vêtements de dessous.,Sfax,(216) - 74 614 365
CREATION RIMODE,Confection de vêtements de dessus - Confection de vêtements de dessous.,Sfax,(216) - 74 625 640
CREO-MODA,Industries textiles n.c.a - Confection de vêtements et accessoires.,Sousse,(216) - 70 242 720
CRJ,Industries textiles n.c.a - Confection de vêtements de dessus - Confection de vêtements de dessous.,Bizerte,(216) - 71 710 831 / 72 447 331
CROWN EAST NORTH AFRICA,Confection de vêtements de travail.,Nabeul,(216) - 72 362 282
CROWN FASHION,Industries textiles n.c.a.,Sousse,(216) - 73 308 501 / 73 308 502
CTA,Confection de vêtements de dessus.,Monastir,(216) - 97 769 099 / 73 580 875
CTC,Confection de vêtements de dessus.,Nabeul,(216) - 72 255 412
CTR (GROMBALIA),Tissage d'autres textiles.,Nabeul,(216) - 72 213 644 / 72 255 412
CTS,Confection de vêtements de travail - Confection de vêtements de dessus.,Tunis,(216) - 71 773 477
CUTTING TEX,Confection de vêtements de dessus.,Monastir,(216) - 98 977 133
CYC +,Fabrication de pull-overs et articles similaires en mailles.,Mahdia,(216) - 73 663 544 / 73 663 545
CYCLO CONFEX,Confection de vêtements et accessoires.,Sousse,(216) - 58 401 100 / 73 342 025
CYMOD,Confection de vêtements de dessus - Confection de vêtements de dessous.,Manouba,(216) - 71 650 210
CYRINE CONFECTION,Confection de vêtements de dessus.,Monastir,(216) - 58 340 400
D SACS TISSES,Fabrication d'autres articles confectionnes en textile.,Kasserine,(216) - 98 951 135 / 90 195 486
DANDJO L.T.D,Confection de vêtements de dessus - Confection de vêtements et accessoires.,Monastir,(216) - 73 535 120 / 73 535 560
DANI AUTOMOTIVE TUNISIA,Fabrication de linges domestiques divers.,Nabeul,(216) - 70 161 972 / 21 002 998
DANY CONFECTION,Fabrication d'autres articles confectionnes en textile - Industries textiles n.c.a - Confection de vêtements de travail - Confection de vêtements de dessus.,Monastir,(216) - 73 434 131
DAWAYTEX,Confection de vêtements de dessus - Confection de vêtements et accessoires.,Monastir,(216) - 73 420 010
DBS FASHION,Confection de vêtements de dessus.,Nabeul,(216) - 20 210 211
DECCO,Confection de vêtements de travail.,Sousse,(216) - 73 357 187
DECO-SERVICES,Industries textiles n.c.a.,Monastir,(216) - 73 531 397 / 73 531 398
DELAKO ( KSAR HELLAL ),Confection de vêtements de travail - Confection de vêtements de dessus.,Monastir,(216) - 73 450 130
DEMCO JEANS WEAR,Confection de vêtements de dessus.,Monastir,(216) - 73 416 100
DEMCO KNITWEAR,Confection de vêtements de dessous - Confection de vêtements et accessoires.,Monastir,(216) - 73 416 100 / 73 416 200
DEMCOINTER,Confection de vêtements de dessus.,Monastir,(216) - 73 416 100
DEMCOTEX,Confection de vêtements de dessous.,Monastir,(216) - 70 284 164
DENIM AUTHORITY,Confection de vêtements de dessus.,Bizerte,(216) - 72 447 064
DENIM FASHION CONFECTION PLUS,Confection de vêtements de dessus.,Monastir,(216) - 73 484 095
DENIM HOUSE,Confection de vêtements de dessus.,Monastir,(216) - 73 450 038 / 28 988 885
DENIM MANUFACTURE,Confection de vêtements de dessus.,Nabeul,(216) - 72 255 727
DENIM PARTNER,Industries textiles n.c.a - Confection de vêtements de dessus.,Sousse,(216) - 73 320 417 / 73 320 407
DENIM PROJECT,Industries textiles n.c.a.,Monastir,(216) - 26 600 403
DENTRI KNIT'S (EX TEXTU KNIT'S),Tissage du coton.,Monastir,(216) - 73 416 100
DENVER,Confection de vêtements de dessus.,Tunis,(216) - 31 105 105
DESI,Confection de vêtements de dessous.,Nabeul,(216) - 96 602 151 / 72 223 813
DESITUNIS,Industries textiles n.c.a.,Sousse,(216) - 58 404 000
DHEHIBI FASHON CONFECTION,Industries textiles n.c.a - Confection de vêtements de dessus.,Sousse,(216) - 53 917 686
DIADEME,Confection de vêtements de dessus - Confection de vêtements de dessous.,Sfax,(216) - 74 615 090 / 74 615 093
DIGITAL-TEX,Finissage textile - Confection de vêtements de travail - Confection de vêtements de dessus.,Medenine,(216) - 75 623 791
DIMATEX,Tissage du coton.,Monastir,(216) - 52 406 887 / 73 546 850
DITEX,Fabrication de pull-overs et articles similaires en mailles - Confection de vêtements de dessus - Confection de vêtements de dessous.,Ariana,(216) - 70 681 695 / 70 682 115
DJO TUNISIE,Industries textiles n.c.a.,Sfax,(216) - 22 172 173 / 28 266 266
DM CONFECTION ( KALAA KEBIRA),Confection de vêtements de travail.,Sousse,(216) - 50 200 773
DM CONFECTION (AKOUDA),Confection de vêtements de travail.,Sousse,(216) - 73 527 534 / 73 811 278
DM CONFECTION (MONASTIR),Confection de vêtements de travail.,Monastir,(216) - 50 055 776
DMI,Confection de vêtements de dessus - Confection de vêtements de dessous.,Monastir,(216) - 73 404 228
DMT,Fabrication de pull-overs et articles similaires en mailles.,Zaghouan,(216) - 71 752 186 / 98 406 628
DNB,Industries textiles n.c.a.,Manouba,(216) - 97 901 800
DOLCE MENTE,Confection de vêtements de dessus.,Sousse,
DOLCE MONDO INTERNAZIONALE +,Confection de vêtements de dessus - Confection de vêtements de dessous.,Monastir,(216) - 73 404 144
DONIA,Fabrication de pull-overs et articles similaires en mailles - Confection de vêtements de dessus - Confection de vêtements et accessoires.,Tunis,(216) - 71 591 636 / 71 590 499
DORRATEX (KORBA),Confection de vêtements de travail - Confection de vêtements de dessus - Confection de vêtements de dessous.,Nabeul,(216) - 72 225 411 / 53 925 411
DOUX FIL,Filature laine cardée.,Monastir,(216) - 73 479 201
DPS TEXTILES,Industries textiles n.c.a.,Monastir,(216) - 73 420 014
DRAGONERA COMPANY,Confection de vêtements de dessus.,Nabeul,(216) - 58 557 730
DREAM CONFECTION COMPANY,Fabrication d'étoffes en maille.,Monastir,(216) - 50 910 202
DREAM FASHION TUNISIE,Confection de vêtements de dessous.,Tunis,(216) - 20 559 246 / 31 189 622
DREAM FASHIONS,Confection de vêtements de dessus.,Ariana,(216) - 70 681 773 / 70 681 695
DREAMTEX,Confection de vêtements de dessus - Confection de vêtements de dessous.,Ariana,(216) - 70 683 073 / 70 681 695
DTF,Confection de vêtements de dessus.,Bizerte,(216) - 72 410 172
DUMMEL,Fabrication de linges domestiques divers.,Monastir,(216) - 71 950 218 / 31 305 600
DWP,Confection de vêtements de dessous.,Sfax,(216) - 74 438 336
DYM-TEX,Confection de vêtements de dessus - Confection de vêtements de dessous.,Monastir,(216) - 73 518 018
DYNEEMATEX,Fabrication d'autres articles confectionnes en textile.,Monastir,(216) - 73 588 174 / 29 403 660
E S CONFECTION,Confection de vêtements de dessus - Confection de vêtements de dessous.,Monastir,(216) - 50 510 395 / 73 535 945
E.T.H,Confection de vêtements de dessus.,Mahdia,(216) - 56 443 334 / 94 656 415
E4 WASH,Industries textiles n.c.a.,Manouba,(216) - 22 010 013 / 70 662 120
ECO DENIM HOUSE (KSAR HELLAL),Confection de vêtements de dessus.,Monastir,(216) - 70 148 700
ECOTEX TUNISIE,Fabrication d'autres articles confectionnes en textile.,Monastir,(216) - 73 401 106
EFC (LA SOUKRA),Confection de vêtements de dessus.,Ariana,(216) - 50 337 332 / 50 692 206
EFFE FACTORY,Confection de vêtements de dessous.,Bizerte,(216) - 72 113 300
