name,activity,governorate,phone
STIFEN INDUSTRIE,Transformation et conservation de fruits et légumes - Conditionnement et entreposage frigorifique de fruits et de légumes.,Nabeul,(216) - 71 156 000 / 72 337 318
STIROA,Huiles et graisses raffinées.,Zaghouan,(216) - 72 640 702 / 72 640 462
STL (BEJA),Industries alimentaires n.c.a..,Beja,(216) - 71 393 222 / 78 442 339
STPA,Pâtes alimentaires et couscous.,Beja,
STPA (SFAX),Meunerie - Travail des grains (semoulerie ) - Aliments pour animaux de ferme.,Sfax,(216) - 74 287 555
STPAC,Aliments pour animaux de ferme.,Sidi Bouzid,(216) - 98 990 420 / 76 626 929
STS (BEJA),Sucrerie.,Beja,(216) - 78 451 655
STTGO,Huiles d'olives et conditionnement.,Mahdia,(216) - 70 319 600
STUCOD AGRI,Conditionnement et entreposage frigorifique de fruits et de légumes.,Ben Arous,(216) - 21 835 000 / 29 936 812
SUCRAGEX,Sucrerie.,Tunis,(216) - 71 354 741
SUCRERIE EL ABED,Sucrerie.,Sousse,(216) - 73 233 688 / 73 232 678
SUDATTES,Conditionnement et entreposage frigorifique de fruits et de légumes.,Kebili,(216) - 27 234 003
SUFFETULA OLIVE OIL (GIAM),Huiles d'olives et conditionnement.,Kasserine,(216) - 77 467 822
SUN ANTIPASTI,Conservation et semi-conservation d'autres légumes.,Ben Arous,(216) - 71 948 258 / 25 373 000
SUNNY FOOD,Conditionnement et entreposage frigorifique de fruits et de légumes.,Nabeul,(216) - 72 372 400
TAHER BOUZID,Transformation et conservation de tomates.,Sfax,(216) - 58 376 467
TAIBA,Boulangerie.,Nabeul,(216) - 29 022 200
TAOOC,Huiles d'olives et conditionnement.,Le kef,(216) - 24 640 530 / 78 228 207
TAOUFIK MAROUANI,Boulangerie.,Beja,
TARALLI PRODUCTION,"Biscotterie, biscuiterie, pâtisserie de conservation.",Ben Arous,(216) - 57 039 600
TECHNA-TUNISIE,Aliments pour animaux de ferme.,Sousse,(216) - 29 804 881 / 20 500 619
TECHNOFOOD INDUSTRIES,Condiments et assaisonnements.,Ben Arous,(216) - 79 408 516
TEJ,"Laiteries, fromageries et yaourterie.",Tunis,(216) - 71 520 908
TELETEC CATERING,"Produits à base de viandes de boucherie et de volailles - Transformation, conservation, congélation et surgélation poisson et fruits de mer - Conservation et semi-conservation d'autres légumes.",Sfax,(216) - 28 635 141 / 74 668 330
TF,Travail des grains (semoulerie ) - Pâtisserie - Industries alimentaires n.c.a..,Ben Arous,(216) - 71 382 333
THAGAMUTA AGRO,Transformation et conservation de fruits et légumes.,Sidi Bouzid,(216) - 96 745 457
THERAPIA,Industries alimentaires n.c.a..,Nabeul,(216) - 99 271 719 / 98 271 719
TIBA EAUX MINERALES,Eaux de table (minérales ).,Kasserine,(216) - 21 879 439
TIBA FOODS COMPANY,Huiles et graisses brutes - Huiles d'olives et conditionnement.,Ben Arous,(216) - 26 450 201
TIBA POUR LA PRODUCTION AGRICOLE,Huiles d'olives et conditionnement.,Sidi Bouzid,(216) - 98 413 636
TICF,Glaces et sorbets.,Ariana,(216) - 23 533 544 / 70 815 068
TIMAB TUNISIE,Aliments pour animaux de ferme.,Gabes,(216) - 75 273 883
TNNE DE BISCUITERIE,"Biscotterie, biscuiterie, pâtisserie de conservation.",Ben Arous,(216) - 71 429 802
TOPOLIVA,Huiles d'olives et conditionnement.,Medenine,(216) - 20 324 224 / 75 671 521
TOUKABER D'INDUSTRIE AGRO-ALIMENTAIRE,Huiles et graisses brutes.,Medenine,
TRUTH,Conservation et semi-conservation d'autres légumes.,Zaghouan,(216) - 28 499 192
TTA,Pâtisserie.,Ben Arous,(216) - 98 466 896 / 31 402 049
