name,activity,governorate,phone,linkedin_url
FRANTEX INTERNATIONAL FASHION,Confection de vêtements et accessoires.,Sousse,(216) - 73 312 034,https://dk.linkedin.com/company/abena-frantex
FREEDOM TUNISIE,Confection de vêtements de dessus.,Sousse,(216) - 73 312 030,https://nl.linkedin.com/company/kufanya
FRERES BOUGARES,Fabrication artisanale d'articles textiles traditionnels.,Medenine,(216) - 97 598 786,https://ca.linkedin.com/company/boire-fr%C3%A8res-inc
FRIES COUTURE,Confection de vêtements de dessus.,Nabeul,(216) - 72 320 720,https://tn.linkedin.com/company/cft-tunis
FRIES TUNISIE,Confection de vêtements de dessus - Confection de vêtements de dessous.,Nabeul,(216) - 72 362 311,https://na.linkedin.com/company/cjdtn
FRITEX,Fabrication d'autres articles confectionnes en textile - Industries textiles n.c.a.,Tataouine,(216) - 75 870 727,https://cz.linkedin.com/company/fritexczsk
FS KONFECT,Confection de vêtements de dessus.,Nabeul,(216) - 52 238 949,https://af.linkedin.com/company/fs-connect
FTE,Confection de vêtements et accessoires.,Monastir,(216) - 73 490 500,https://www.linkedin.com/company/al-shammari-est-
FTS,Finissage textile - Industries textiles n.c.a.,Bizerte,(216) - 53 490 020 / 54 988 977,https://kp.linkedin.com/company/fts-international-llc
FYORANE MODE,Confection de vêtements de travail.,Nabeul,(216) - 72 300 207,https://www.linkedin.com/company/cognitive-techware
G M GROUP,Confection de vêtements de dessus - Confection de vêtements de dessous.,Sousse,(216) - 73 312 711,https://in.linkedin.com/company/gm-group-of-companies
G.J TEX,Confection de vêtements de travail.,Mahdia,(216) - 73 687 774 / 56 837 731,https://in.linkedin.com/company/gtexfabrics
G.WASH,Industries textiles n.c.a.,Nabeul,(216) - 58 456 581 / 72 389 077,https://fr.linkedin.com/company/gwash-collection
